sample_id,variant,avg_percent_of_mapped,avg_mapped_per_mb
SAMPLE1,CP001509.3,96.35467970383264,30585.896951924416
SAMPLE1,NC_000913.3,2.6186820331974316,816.3760086566881
SAMPLE1,NC_002695.2,1.02663826296992,270.19106879390756
SAMPLE2,NC_000913.3,0.0,0.0
SAMPLE2,NC_002695.2,0.0,0.0
SAMPLE2,CP001509.3,0.0,0.0
SAMPLE3,NC_002695.2,38.02071358143929,8770.206891066502
SAMPLE3,CP001509.3,31.334020372198847,8717.425543394138
SAMPLE3,NC_000913.3,30.645266046361872,8373.958237282763
